iter	Passed	Remaining
357	602182	568541
358	604241	567212
359	606205	565792
360	608153	564352
361	609781	562616
362	611158	560649
363	613150	559247
364	614744	557480
365	616211	555600
366	618146	554141
367	619757	552392
368	621648	550891
369	623197	549087
370	624843	547369
371	626597	545746
372	628385	544151
373	630443	542788
374	632055	541039
375	633836	539435
376	635810	537993
377	637931	536672
378	639923	535239
379	641930	533815
380	643624	532130
381	645825	530861
382	647412	529086
383	649383	527623
384	650914	525803
385	652584	524096
386	654716	522758
387	656637	521248
388	658569	519744
389	660473	518217
390	662635	516889
391	664505	515331
392	666544	513901
393	668403	512329
394	670618	511028
395	672591	509538
396	674438	507952
397	676592	506594
398	678502	505051
399	680212	503356
400	682131	501817
401	684020	500253
402	685339	498273
403	687447	496867
404	688674	494825
405	690306	493076
406	691810	491236
407	693532	489552
408	695357	487940
409	697583	486607
410	698955	484676
411	700697	483005
412	702613	481452
413	704028	479555
414	705389	477625
415	707222	476014
416	708939	474326
417	710569	472579
418	712584	471088
419	714166	469309
420	716177	467812
421	718243	466347
422	720117	464756
423	722300	463362
424	724237	461807
425	725990	460134
426	727892	458555
427	729622	456866
428	731615	455341
429	733416	453694
430	734917	451863
431	736674	450190
432	738609	448624
433	740796	447208
434	742542	445525
435	744637	444049
436	746308	442320
437	748089	440655
438	749838	438971
439	751612	437302
440	753146	435493
441	754675	433682
442	756766	432194
443	758899	430726
444	760808	429129
445	762684	427513
446	764589	425912
447	766209	424151
448	767494	422207
449	769377	420593
450	771188	418938
451	773044	417307
452	774698	415566
453	776569	413942
454	778060	412115
455	779934	410491
456	781442	408675
457	783136	406957
458	784463	405049
459	786117	403312
460	788034	401709
461	790102	400181
462	791861	398496
463	793594	396797
464	795493	395180
465	797369	393551
466	799331	391963
467	800910	390186
468	802962	388640
469	805022	387096
470	806971	385495
471	808983	383924
472	811116	382407
473	812747	380653
474	814579	378993
475	816662	377449
476	818661	375863
477	820555	374228
478	822017	372396
479	824052	370823
480	825824	369131
481	827501	367396
482	829008	365587
483	830737	363876
484	832756	362291
485	834731	360686
486	836359	358930
487	838443	357369
488	840065	355610
489	841653	353837
490	842795	351879
491	844714	350247
492	846781	348674
493	848703	347040
494	850716	345442
495	852359	343693
496	854207	342026
497	855699	340218
498	857538	338547
499	858925	336698
500	861148	335177
501	862368	333265
502	864607	331747
503	866311	330023
504	868332	328418
505	870288	326788
506	871958	325049
507	874123	323494
508	875709	321724
509	877350	319974
510	879340	318352
511	881366	316741
512	883114	315029
513	884856	313315
514	886501	311566
515	888357	309892
516	890309	308250
517	892155	306570
518	894387	305022
519	896294	303361
520	898511	301803
521	900468	300156
522	902180	298426
523	903932	296710
524	905656	294985
525	907825	293403
526	909795	291756
527	911755	290103
528	913394	288349
529	915031	286594
530	916745	284864
531	918174	283046
532	919982	281345
533	921653	279602
534	923603	277944
535	924869	276080
536	926172	274229
537	927746	272460
538	929106	270630
539	931092	268982
540	932740	267236
541	934420	265499
542	936516	263880
543	938508	262230
544	940367	260542
545	941885	258759
546	943726	257066
547	945128	255253
548	946906	253543
549	948970	251908
550	950604	250159
551	952415	248456
552	953973	246687
553	955325	244866
554	957084	243151
555	958595	241373
556	960202	239619
557	961576	237809
558	962957	236002
559	964534	234244
560	965993	232458
561	967901	230780
562	969849	229111
563	971727	227425
564	973569	225730
565	975343	224018
566	977381	222367
567	979274	220681
568	980730	218897
569	982385	217158
570	984489	215518
571	986344	213822
572	987755	212031
573	989553	210323
574	991341	208612
575	993353	206948
576	994817	205170
577	996400	203417
578	997948	201658
579	1000038	200007
580	1002231	198376
581	1004290	196716
582	1006247	195036
583	1007600	193238
584	1009104	191471
585	1010620	189706
586	1012073	187931
587	1014201	186281
588	1016046	184578
589	1017964	182888
590	1020143	181243
591	1021864	179516
592	1023153	177714
593	1024507	175925
594	1026110	174180
595	1027808	172451
596	1029551	170729
597	1031808	169092
598	1033605	167378
599	1035282	165645
600	1036924	163906
601	1038315	162129
602	1039798	160366
603	1041443	158630
604	1043207	156912
605	1044564	155133
606	1046635	153460
607	1048645	151777
608	1050671	150095
609	1052334	148361
610	1054393	146683
611	1056269	144978
612	1058298	143293
613	1060294	141602
614	1062456	139933
615	1063869	138164
616	1065161	136382
617	1066714	134633
618	1068389	132901
619	1069713	131126
620	1071888	129455
621	1073995	127774
622	1075530	126025
623	1077582	124336
624	1079260	122604
625	1081297	120911
626	1083158	119199
627	1084906	117473
628	1087034	115789
629	1088826	114067
630	1090398	112323
631	1092017	110584
632	1093557	108837
633	1095543	107135
634	1097596	105438
635	1098905	103670
636	1100521	101932
637	1102493	100226
638	1104308	98506
639	1105728	96751
640	1108056	95075
641	1109902	93356
642	1111977	91656
643	1113173	89883
644	1115282	88185
645	1116793	86439
646	1118741	84726
647	1120939	83032
648	1122634	81300
649	1124141	79554
650	1125786	77819
651	1127785	76108
652	1129300	74364
653	1131150	72642
654	1133156	70930
655	1134580	69181
656	1136613	67470
657	1138148	65728
658	1140025	64007
659	1142012	62291
660	1143843	60566
661	1145969	58856
662	1147741	57127
663	1149858	55414
664	1151755	53690
665	1153325	51951
666	1154798	50208
667	1156465	48474
668	1158444	46753
669	1160248	45024
670	1162099	43297
671	1163508	41553
672	1164823	39808
673	1166828	38086
674	1168085	36340
675	1170306	34624
676	1172219	32898
677	1173897	31165
678	1175553	29432
679	1177769	27712
680	1179598	25982
681	1181406	24251
682	1183291	22522
683	1185562	20799
684	1187042	19061
685	1188738	17328
686	1191005	15602
687	1192543	13866
688	1194302	12133
689	1196310	10402
690	1197878	8667
691	1199566	6933
692	1201215	5200
693	1203428	3468
694	1205672	1734
695	1207982	0
