iter	MultiClass
283	0.3650688564
284	0.364779037
285	0.3642157061
286	0.3640766832
287	0.3636447536
288	0.3631920765
289	0.3625448133
290	0.36231651
291	0.3619380332
292	0.3613668063
293	0.3611408849
294	0.3605223816
295	0.3602585333
296	0.3599027882
297	0.3594431818
298	0.3589781467
299	0.3586376002
300	0.3583985819
301	0.3580807803
302	0.357683935
303	0.3571722896
304	0.3564757189
305	0.3559354251
306	0.3556282109
307	0.3550597191
308	0.3547333294
309	0.3544962943
310	0.3541280332
311	0.3535260794
312	0.3532898264
313	0.352815672
314	0.352604992
315	0.3522758906
316	0.3517825726
317	0.351394839
318	0.3510317978
319	0.3504531513
320	0.3501807585
321	0.3496409324
322	0.3493078578
323	0.3484680755
324	0.3479690778
325	0.3476383374
326	0.3474425347
327	0.3470106237
328	0.3465511142
329	0.3457837626
330	0.3452759131
331	0.3448705991
332	0.344485807
333	0.3439037323
334	0.34362483
335	0.3432771706
336	0.3426090064
337	0.3423787629
338	0.3420480926
339	0.3416284397
340	0.3410209979
341	0.3407460253
342	0.3403475264
343	0.3398816457
344	0.33965958
345	0.339278596
346	0.3390771674
347	0.3387444465
348	0.3380232915
349	0.3376451199
350	0.3372920612
351	0.3370458552
352	0.3368147056
353	0.3364289026
354	0.3360426381
355	0.335590825
356	0.3352917425
357	0.3348454043
358	0.3345847939
359	0.3344178629
360	0.3339787095
361	0.333355168
362	0.3329255745
363	0.332623645
364	0.3319767457
365	0.3314566301
366	0.3308950411
367	0.3303239802
368	0.3302193894
369	0.3298711644
370	0.3296521461
371	0.3292611242
372	0.3290219464
373	0.3288801259
374	0.3282978883
375	0.3279881462
376	0.3277691166
377	0.3276430516
378	0.3270383875
379	0.3266479401
380	0.3263071338
381	0.3262193049
382	0.3258450587
383	0.325350963
384	0.3248814827
385	0.3245437386
386	0.3242902735
387	0.3240642534
388	0.3239210815
389	0.3236246221
390	0.323397816
391	0.3231083948
392	0.3229696477
393	0.3226624472
394	0.3225747859
395	0.3222423105
396	0.3216438218
397	0.321525299
398	0.3212642091
399	0.3210837885
400	0.320618152
401	0.3205271548
402	0.3202321028
403	0.3199721568
404	0.319544235
405	0.3190989515
406	0.3185717019
407	0.3182248718
408	0.3181085495
409	0.3179931087
410	0.3175962296
411	0.3173090049
412	0.3171319321
413	0.3167566738
414	0.31641478
415	0.3158245105
416	0.3156349762
417	0.3151363831
418	0.3149850205
419	0.3147758674
420	0.3145273718
421	0.3144705697
422	0.3143595917
423	0.3142551393
424	0.3140576581
425	0.3135912221
426	0.3133251756
427	0.3131533707
428	0.3129468902
429	0.312630309
430	0.3121940007
431	0.3117154466
432	0.3113050823
433	0.3111545903
434	0.310691623
435	0.3101713693
436	0.3097137466
437	0.3092567632
438	0.3089458884
439	0.3083287954
440	0.3080577155
441	0.3074827615
442	0.3073581901
443	0.3070529776
444	0.3067846953
445	0.3065216138
446	0.3062506133
447	0.305986065
448	0.3054934342
449	0.3052509709
450	0.3048992212
451	0.3045727728
452	0.304175943
453	0.3039156378
454	0.3036213356
455	0.3034748864
456	0.3030949713
457	0.3027710441
458	0.3022149297
459	0.3018015778
460	0.3016835633
461	0.3014252093
462	0.3011570141
463	0.3005169635
464	0.3003621896
465	0.3001558541
466	0.3001110717
467	0.29971039
468	0.2994715279
469	0.2993359233
470	0.2991102111
471	0.2987641086
472	0.2985501648
473	0.2982075045
474	0.2978316243
475	0.2975431978
476	0.2972430621
477	0.2970317302
478	0.2967591419
479	0.2965621334
480	0.2962353904
481	0.2958436763
482	0.2955594011
483	0.295268818
484	0.2950637305
485	0.2949448787
486	0.2946165503
487	0.2944996215
488	0.2940839404
489	0.2937401304
490	0.293514921
491	0.2933989006
492	0.2931444825
493	0.2927513612
494	0.2923991191
495	0.2921483726
496	0.2917352354
497	0.2915126715
498	0.2910538145
499	0.2906720247
500	0.2904785503
501	0.2900961578
502	0.2897426434
503	0.289486469
504	0.2892935779
505	0.2891327175
506	0.2887976227
507	0.2887679803
508	0.2883738371
509	0.2879680642
510	0.2877503954
511	0.287647713
512	0.2873982103
513	0.2870177248
514	0.286518943
515	0.2862492702
516	0.2861504267
517	0.2857436861
518	0.2856893242
519	0.2854658409
520	0.2852322717
521	0.2850637018
522	0.2847730296
523	0.2843101262
524	0.2839479312
525	0.2837646387
526	0.2835008204
527	0.2833798312
528	0.2830498163
529	0.2827673445
530	0.2826180564
531	0.282373211
532	0.2820465423
533	0.281870748
534	0.2815339822
535	0.2811178587
536	0.2806684252
537	0.2801048565
538	0.2795389886
539	0.2793508102
540	0.2787770951
541	0.2784891953
542	0.2783162186
543	0.2781927367
544	0.278013541
545	0.2776810307
546	0.2773825986
547	0.2769660499
548	0.2766676434
549	0.2764602726
550	0.2760227965
551	0.2758012079
552	0.2754783385
553	0.2751015893
554	0.2747557916
555	0.2743208621
556	0.273966527
557	0.2735949972
558	0.2732755079
559	0.2729883129
560	0.2726608287
561	0.2724265639
562	0.2723550063
563	0.2722239172
564	0.2719297263
565	0.2715249206
566	0.2713258672
567	0.2712365984
568	0.2706325082
569	0.2703012788
570	0.2702185535
571	0.2699419951
572	0.2698668119
573	0.2693479178
574	0.2690174082
575	0.2688417936
576	0.2686320115
577	0.2682493472
578	0.2679555978
579	0.2677559885
580	0.2676788997
581	0.2675421311
582	0.2673444106
583	0.2670835314
584	0.2666264502
585	0.2663488518
586	0.2657320613
587	0.2655792654
588	0.2654190363
589	0.26511062
590	0.2648620947
591	0.2643730864
592	0.2639511357
593	0.2637178739
594	0.263562999
595	0.2631624397
596	0.2628920043
597	0.2625248802
598	0.2622352854
599	0.2619656364
600	0.2618164688
601	0.2614147579
602	0.2608904606
603	0.2606158348
604	0.2605213107
605	0.2601344834
606	0.259817127
607	0.2596432102
608	0.2592468409
609	0.258995978
610	0.258946649
611	0.2587408897
612	0.2585854744
613	0.2583987289
614	0.2582901082
615	0.2580831217
616	0.257704711
617	0.2574596927
618	0.2571979995
619	0.2570381724
620	0.2568597378
621	0.2566386747
622	0.2562085651
623	0.2559869584
624	0.2558331035
625	0.2557281153
626	0.2554137855
627	0.2551796607
628	0.2549243054
629	0.2548309135
630	0.2544655247
631	0.2542554098
632	0.2539546796
633	0.2537692988
634	0.2535710543
635	0.2533186007
636	0.2530695964
637	0.252623158
638	0.2522607316
639	0.2518555105
640	0.2517607142
641	0.2515716376
642	0.2512645023
643	0.2508793409
644	0.2507503932
645	0.2505245638
646	0.2501388768
647	0.2495486115
648	0.2493109682
649	0.2490834125
650	0.2488895243
651	0.2486569966
652	0.2484474366
653	0.2483457248
654	0.2481455996
655	0.2477829253
656	0.2474460713
657	0.2473044294
658	0.2471668706
659	0.2470628343
660	0.2469356769
661	0.2468419055
662	0.246557551
663	0.2464373028
664	0.246239497
665	0.2459877523
666	0.2457569765
667	0.2455298423
668	0.2453760723
669	0.2449456709
670	0.2448068782
671	0.2444450429
672	0.2440421923
673	0.2438773525
674	0.243556243
675	0.2434366943
676	0.2433100246
677	0.243109143
678	0.2428747623
679	0.2428077695
680	0.2426069695
681	0.2425032401
682	0.2421044259
683	0.2420581498
684	0.2417631432
685	0.2414154578
686	0.2412444265
687	0.2410278794
688	0.2407697862
689	0.2406747497
690	0.2404525997
691	0.2400010656
692	0.239690948
693	0.239557604
694	0.2394473888
695	0.2390752274
